㐄		kua4	/component in Chinese characters, mirror image of 夂[zhi3]/
㐅		wu3	/archaic variant of 五[wu3]/
㐆		yin3	/component in Chinese character 殷[yin1]/
㐌		ta1	/variant of 它[ta1]/
㐖		xie2	/see 㐖毒[Xie2 du2]/
㐜		chou2	/variant of 仇[chou2]/
㐡		nuo4	/archaic variant of 懦[nuo4]/
㐤		qiu2	/archaic variant of 求[qiu2]/
㐫		xiong1	/old variant of 凶[xiong1]/
㐰		xin4	/old variant of 信[xin4]/
㐺		zhong4	/old variant of 眾|众[zhong4]/
㑳		zhou4	/(old) beautiful/clever/
㑺		jun4	/old variant of 俊[jun4]/
㒳		liang3	/old variant of 兩|两[liang3]/
㒸		sui4	/archaic variant of 遂[sui4]/
㒺		wang3	/old variant of 罔[wang3]/
㓂		kou4	/old variant of 寇[kou4]/
㔾		jie2	/"seal" radical in Chinese characters (Kangxi radical 26)/
㕁		que4	/old variant of 卻|却[que4]/
㕑		chu2	/old variant of 廚|厨[chu2]/
㕥		shen1	/old variant of 呻[shen1]/
㕥		yi3	/old variant of 以[yi3]/
㕯		ne4	/old variant of 訥|讷[ne4]/
㕻		pou3	/variant of 咅[pou3]/also pr. [tou4]/
㗂		sheng3	/variant of 省[sheng3]/tight-lipped/to examine/to watch/to scour (esp. Cantonese)/
㗎		jia4	/sentence-final particle, contraction of "嘅呀" (Cantonese)/see also 嘅[kai4]/
㘭		ao4	/variant of 坳[ao4]/
㚻		ji1	/see 㚻姦|㚻奸[ji1 jian1]/
㛂		nuo3	/graceful/frail and petite/
㝄		chun2	/old variant of 純|纯[chun2]/
㝇		chun2	/old variant of 鶉|鹑[chun2]/
㝛		su4	/old variant of 宿[su4]/
㝠		ming2	/old variant of 冥[ming2]/
㝡		zui4	/variant of 最[zui4]/
㝵		ai4	/variant of 礙|碍[ai4]/
㝵		de2	/to obtain/old variant of 得[de2]/
㞎		ba3	/(baby talk) poop/see 㞎㞎[ba3 ba5]/
㞗		qiu2	/(dialect) penis/dick/
㞙		niao4	/old variant of 尿[niao4]/
㞞		song2	/(coll.) semen/weak and incompetent/
㟁		an4	/variant of 岸[an4]/
㠀		dao3	/variant of 島|岛[dao3]/
㠯		yi3	/old variant of 以[yi3]/
㠶		fan1	/variant of 帆[fan1]/
㡌		mao4	/old variant of 帽[mao4]/
㢘		lian2	/old variant of 廉[lian2]/
㢠		jiong3	/variant of 迥[jiong3]/
㢲		xun4	/variant of 巽[xun4]/
㢴		xi1	/old variant of 西[xi1]/
㣟		xi4	/to go/to walk/
㤅		ai4	/archaic variant of 愛|爱[ai4]/
㤙		en1	/variant of 恩[en1]/
㥁		de2	/variant of 德[de2]/
㥏		tian3	/ashamed/
㥦		qie4	/variant of 愜|惬[qie4]/
