A		A	/(slang) (Tw) to steal/
B		bi1	/euphemistic variant of 屄[bi1]/
P		P	/(slang) femme (lesbian stereotype)/to photoshop/
Q		Q	/cute (loanword)/(of food) having a pleasant chewiness (like mochi, tapioca pearls, taro balls etc – foods with a springy or gel-like mouthfeel)/(loanword) to cue sb/
T		T	/(slang) butch (lesbian stereotype)/
□		biu1	/(onom.) pew! (sound of a bullet fired from a gun)/also pr. [biu4]/
□		ging1	/uptight/obstinate/to awkwardly force oneself to do sth/(Taiwanese, POJ pr. [gēng], often written as ㄍㄧㄥ, no generally accepted hanzi form)/
○		ling2	/character used in Taiwan as a substitute for a real name (like "X" in English)/variant of 〇[ling2]/
⺮		zhu2	/"bamboo" radical in Chinese characters (Kangxi radical 118)/
々		xx	/iteration mark (used to represent a duplicated character)/
〇		ling2	/zero/
〡		yi1	/numeral 1 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〢		er4	/numeral 2 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〣		san1	/numeral 3 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〤		si4	/numeral 4 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〥		wu3	/numeral 5 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〦		liu4	/numeral 6 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〧		qi1	/numeral 7 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〨		ba1	/numeral 8 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〩		jiu3	/numeral 9 in Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5]/
〻		xx5	/iteration mark (used to represent a duplicated character)/
㍻		xx5	/平成[Ping2 cheng2] written as a single character/
㍼		xx5	/昭和[Zhao1 he2] written as a single character/
㍽		xx5	/大正[Da4 zheng4] written as a single character/
㍾		xx5	/明治[Ming2 zhi4] written as a single character/
3C		san1 C	/abbr. for computers, communications, and consumer electronics/China Compulsory Certificate (CCC)/
3P		san1 P	/(slang) threesome/
3Q		san1 Q	/(Internet slang) thank you (loanword)/
88		ba1 ba1	/(Internet slang) bye-bye (alternative for 拜拜[bai2 bai2])/
A咖		A ka1	/class "A"/top grade/
A片		A pian4	/adult movie/pornography/
A菜		A cai4	/(Tw) lettuce (from Taiwanese 萵仔菜, POJ pr. [e-á-tshài])/
A貨		A huo4	/good-quality fake/
B超		B chao1	/B-mode ultrasonography/prenatal ultrasound scan/abbr. for B型超聲|B型超声[B xing2 chao1 sheng1]/
CP		C P	/an imagined romantic relationship between two characters in fiction (or in real life) that one wishes for or fantasizes about (abbr. of "coupling")/
C位		C wei4	/(neologism, c. 2015) (coll.) most prominent position (e.g. in a group photo of entertainers) (loanword from "carry" or "center" or "core")/
C盤		C pan2	/C drive or default startup drive (computing)/
C羅		C Luo2	/nickname of Portuguese soccer player Cristiano Ronaldo/
E仔		E zai3	/MDMA (C11H15NO2)/
G友		G you3	/see 基友[ji1 you3]/
G點		G dian3	/G-spot/
H橋		H qiao2	/H bridge (electronics)/
K人		K ren2	/(slang) to hit sb/to beat sb/
K仔		K zai3	/ketamine (slang)/
K房		K fang2	/(slang) KTV/KTV room/
K書		K shu1	/to cram (Taiwan, from Taiwanese khè su 齧書, lit. to gnaw a book)/to study/see also 啃書|啃书[ken3 shu1]/
K歌		K ge1	/karaoke (slang)/
K粉		K fen3	/ketamine (slang)/
K線		K xian4	/candlestick (in a candlestick chart)/
K金		K jin1	/see 開金|开金[kai1 jin1]/
L照		L zhao4	/nude picture (from 裸照[luo3 zhao4])/
MV		M V	/desirability as a partner (abbr. for "mate value")/music video/
M巾		M jin1	/(coll.) menstrual pad/
N久		N jiu3	/a very long time (etymology: in mathematics, n represents an arbitrarily large number)/
N擋		N dang3	/neutral (gear)/
OS		O S	/(in a soap opera or movie) voice-over that makes a character's unspoken thoughts audible to the audience/
PK		P K	/(slang) to take on/to challenge/to go head to head/showdown/comparison/
PO		pou1	/(Tw) (Internet slang) to post (online)/
PU		P U	/the degree of suspicion that a woman might be unfaithful to her husband (abbr. for "paternity uncertainty")/
P圖		P tu2	/(Internet slang) to photoshop a picture/photoshopped picture/
P擋		P dang3	/park (gear)/program mode (on a digital camera)/
P民		P min2	/(slang) shitizen/commoner/hoi polloi/
Q勁		Q jin4	/springy mouthfeel/
Q彈		Q tan2	/(of a food's mouthfeel) springy/firm/al dente/
TA		ta1	/he or she/
T恤		T xu4	/T-shirt/
T裇		T xu1	/T-shirt/
U盤		U pan2	/USB flash drive/see also 閃存盤|闪存盘[shan3 cun2 pan2]/
U盾		U dun4	/USB key used as a security token in Chinese online banking/
V溝		V gou1	/low neckline that reveals the cleavage/décolleté/gully/
X光		X guang1	/X-ray/
π日		Pai4 ri4	/World Pi Day, a celebration of the mathematical constant π on March 14 each year/
三C		san1 C	/see 3C[san1 C]/
三P		san1 P	/(slang) threesome/
來M		lai2 M	/(coll.) (of women) to get one's period/
傻B		sha3 bi1	/variant of 傻屄[sha3 bi1]/
傻X		sha3 X	/see 傻叉[sha3 cha1]/
動L		dong4 L	/flowing/flexible/lively (Internet slang)/
唱K		chang4 K	/(slang) to sing karaoke/
圈a		quan1 a	/at symbol, @/
大V		da4 V	/influential microblogger with a verified account (hence the "V")/
拉K		la1 K	/(slang) to take ketamine/
柯P		Ke1 P	/Professor Ko, nickname for Ko Wen-je 柯文哲[Ke1 Wen2 zhe2]/
牛B		niu2 bi1	/variant of 牛屄[niu2 bi1]/
裝B		zhuang1 bi1	/variant of 裝屄|装屄[zhuang1 bi1]/
阿Q		A1 Q	/Ah Q, antihero of Lu Xun's influential 1921 novella The True Story of Ah Q 阿Q正傳|阿Q正传[A1 Q Zheng4 zhuan4]/
香Q		xiang1 Q	/flavorsome and having a springy mouthfeel (Tw)/
996		jiu3 jiu3 liu4	/9am-9pm, six days a week (work schedule)/
