㐖毒	het dowk	Xie2 du2	/India (archaic)/
一一	’jit ’jit	yi1 yi1	/one by one/one after another/
一下	’jit haeX	yi1 xia4	/(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once/
一並	’jit bengX	yi1 bing4	/variant of 一併|一并, to lump together/to treat along with all the others/
一二	’jit nyijH	yi1 er4	/one or two/a few/
一些	’jit sjae	yi1 xie1	/some/a few/a little/(following an adjective) slightly ...er/
一代	’jit dojH	yi1 dai4	/generation/
一來	’jit loj	yi1 lai2	/firstly, .../
一價	’jit kaeH	yi1 jia4	/monovalent (chemistry)/
一元	’jit ngjwon	yi1 yuan2	/single variable (math.)/univariate/
一共	’jit gjowngH	yi1 gong4	/altogether/
一再	’jit tsojH	yi1 zai4	/repeatedly/
一准	’jit tsywinX	yi1 zhun3	/certainly/also written 一準|一准[yi1 zhun3]/
一則	’jit tsok	yi1 ze2	/on the one hand/
一匙	’jit dzye	yi1 chi2	/spoonful/
一半	’jit panH	yi1 ban4	/half/
一口	’jit khuwX	yi1 kou3	/readily/flatly (deny, admit and so on)/a mouthful/a bite/
一句	’jit kjuH	yi1 ju4	/a line of verse/a sentence/
一同	’jit duwng	yi1 tong2	/along/together/
一向	’jit xjangH	yi1 xiang4	/always (previously)/a period of time in the recent past/
一周	’jit tsyuw	yi1 zhou1	/one week/all the way around/a whole cycle/
一味	’jit mj+jH	yi1 wei4	/blindly/invariably/
一品	’jit phimX	yi1 pin3	/superb/first-rate/(of officials in imperial times) the highest rank/
一堆	’jit twoj	yi1 dui1	/pile/
一塊	’jit khwojH	yi1 kuai4	/one block/one piece/one (unit of money)/together/in the same place/in company/
一壁	’jit pek	yi1 bi4	/one side/at the same time/
一夕	’jit zjek	yi1 xi1	/overnight/instantly/very quickly/
一字	’jit dziH	yi1 zi4	/in a row/in a line/
一定	’jit dengH	yi1 ding4	/surely/certainly/necessarily/fixed/a certain (extent etc)/given/particular/must/
一家	’jit kae	yi1 jia1	/the whole family/the same family/the family ... (when preceded by a family name)/group/
一審	’jit syimX	yi1 shen3	/first instance (law)/
一對	’jit twojH	yi1 dui4	/couple/pair/
一層	’jit dzong	yi1 ceng2	/layer/
一己	’jit kiX	yi1 ji3	/oneself/
一帶	’jit tajH	yi1 dai4	/region/district/
一度	’jit duH	yi1 du4	/for a time/at one time/one time/once/
一律	’jit lwit	yi1 lu:4	/same/uniformly/all/without exception/
一徑	’jit kengH	yi1 jing4	/directly/straightaway/straight/
一心	’jit sim	yi1 xin1	/wholeheartedly/heart and soul/
一意	’jit ’iH	yi1 yi4	/focus/with complete devotion/stubbornly/
一手	’jit syuwX	yi1 shou3	/a skill/mastery of a trade/by oneself/without outside help/
一排	’jit beaj	yi1 pai2	/row/
一斑	’jit paen	yi1 ban1	/lit. one spot (on the leopard)/fig. one small item in a big scheme/
一方	’jit pjang	yi1 fang1	/a party (in a contract or legal case)/one side/area/region/
一旁	’jit bang	yi1 pang2	/aside/to the side of/
